별점,리뷰내용
평점5,"출장 강의 및 부업과 기타 다용도로 사용하기 위해 서브로 서피스 프로에 첫 입문하였습니다.
제품에 대한 첫 인상은 상당히 귀엽고 이쁜 모양이라 서피스 프로가 어째서 명작인지 다시금 느끼게 해주더랍니다.

외관적으로는 흠 잡을 데 없이 만점을 주고 싶습니다. 특히 각진 느낌 없이 모서리를 둥글게 처리하여 여타 노트북과는 다른 앙증맞은 모습이 매력포인트입니다.

운동을 좀 하신 분들이라면 문제 없이 장시간 사용 가능할 정도라, 부담 여부에 관해선 개개인의 차이가 있겠으나 제 입장은 '호'였습니다.

그 외 킥스탠드 역시 부드럽게 움직여서 사용자가 편하게 , 타입커버와의 조합도 개인적으로는 .

기기 성능 면으로 들어가자면, 그 이전까지 쓰던 모델들이 라즈베리파이4나 라떼판다 같은 SBC 제품들이었기에, 서피스 프로와는 비교하기가 미안해지더군요. 이전 직장에서 사용하던 모델과는 퍼포먼스가 천지차이이기에 정확한 비교분석을 진행하기는 어려웠으나, 부드러운 움직임을 보였습니다.

다만 윈도우 11에 관한 부분은 평가하기 조금 힘들었습니다.
특히 32비트 실행은 가능하나 더 이상 32비트 관련 빌드가 어렵다는 점에 대해선 제가 속한 극히 일부 산업계 특성 때문에 발생하는 문제이기에 객관적으로 평가하기엔 조금 무리가 있었습니다만, 개인적으론 '불호'였습니다.

UI부분에서도 윈도우 11은 익숙지 않았기에 좋은 점수를 주기 어려웠습니다.
다만이러한 문제들은 순전히 운영체제의 문제이기에 제품에 관한 평가로 이어지는 것은 무리라 판단하여 만족도 평가에는 반영하지 않았습니다.

아무튼 그러한 평가들을 거쳐 제가 내린 결론은 ''이라는 점이었기에 마이크로소프트가 향후에도 이 시리즈를 계속 발전시키고 부족한 점을 개선시켜 나가며 명맥을 이어주길 바라고 있습니다. 좋은 제품을 만나게 해주셔서 다시 한 번 감사드리며, 향후에도 해당 시리즈의 끝없는 발전을 기원드리는 바입니다."
평점5,"노트북💻과 태블릿📱 2in1이 가능하다는 점과 완전 경량은 아니나 비슷한 성능의 노트북에 비해 가볍다는 점 2가지가 끌려서 구매했습니다
SSD 추가 확장이 안되어서 512GB를 사야하나 고민했는데 요샌 드라이브들도 많아서 256GB로 결정했습니다
받아서 전원 켜니 부팅 속도 빠르고 태블릿처럼 활용 시에도 윈도우OS로 사용이 가능해서 너무 좋습니다 받아서 전원 켜면 세팅과 동시에 업데이트가 진행이 되고 오피스 설정까지 마무리하면 한 10여분정도 걸리는 것 같습니다 어려운 건 없고 다음다음➡️ 누르면서 따라하면 됩니다
게임은 안해서 모르겠으나 디자인툴이나 여러 프로그램 동시에 돌려도 소음이 적어 무척 마음에 듭니다😚
다만 단점은 충전기가 무겁고 전원 충전 시 전류가 좀 흐른다는 것 (맥*처럼) 정도고 단자 확장 등이 필요한 경우 MS오피스 제품 액세서리를 별도 구매하는 것이 좋다는 점 (이것도 A사와 비슷하고 결국 돈💰이 많이 든다는 것😹) 입니다.
결론적으로 가격과 단점은 좀 있지만 개인적으로는 기능과 무게, 활용성 측면의 장점이 더 큰 것 같아 ,"
평점4,"기존에 서피스프로4 사용하던 유저입니다. 기존 것은 i5, 램4, 128 모델이었던지라 윈10만 사용가능했고 문서 작업 위주로 사용한 것이라 큰 불편함 없이 8년 정도 썼어요 이번 프로9은 evo칩이 장착되었기에 사양을 좀 더 높여서 구매한건데 윈11과 아주 찰떡이네요 태블릿처럼 움직임이 유연하고 빠르고 부드러워서 데스크탑을 돌리고 있다는 느낌이 안듭니다 오류 발생시에도 도움말의 AI진단과 자동 해결 부분은 상담사 연결도 필요없고 상시 가능하고 알아서 척척 처리해주니 너무 편리하고요 펜의 그립감은 떨어지지만 편의성은 더 좋아졌고요 그림 그릴게 아니라면 펜의 활용성은 상당히 좋습니다 윈10이 더 좋았던 점도 있지만 큰 장점은 아니었던지라 저처럼 윈11로 새로 넘어오시는 분들에게 거부감이 없을 것 같아요 무게는 뭐..요새 이 정도 사이즈에 이렇게 펜, 키보드까지 들고 다니려면..보통입니다 무게 중요하신 분들은 엘지 그램으로 사세요 선명한 소리가 나네요 가격만큼하는 서피스프로9입니다 다만 단점 한가지는 글자를 스크롤하며 읽을 때 잔상을 남기면서 스크롤이 되는데요 이건 기기의 ""결함""이 아니라 기기의 ""특성""인것 같아요 서피스 프로4 때와는 다른 방식으로 화면 패널을 만든 것 같은데.. 자세히 화면을 들여다보면 아주 미세한 마이크로 격자 형태가 보입니다 이걸로 읽기를 많이 하는 저는 눈이 상당히 피로해요 이건 프로4가 더 낫네요 이걸 보완하는 윈11 업데이트가 나오면 좋겠습니다 제품 자체는 양품의 정품으로 주말인데도 하루만에 빠르게 보내주셔서 좋았습니다"
평점5,"회사원으로 태블릿과 노트북 두개를 가지고 다녀야해서 고심끝에 서피스프로9구매 했는데 실물로 정말간지나고 가볍습니다 무엇보다 스피커 음질이 너무나도 좋고
지금가지고 있는 갤럭시탭s7fe 세컨드스크린으로
듀얼모니터로 사용도 할수있어서 활용도가 무척이나 좋고 배터리는 절약모드로 10시간넘게 사용했어요
물론 오피스주로 사용했구요 i7 16gb 126이라서
빠릿빠릿합니다 펜은 처음에 납작해서 불편한줄 아랐는데 지금가지고있는 갤탭 팬보다 훨신좋고 팬반응도 좋았습니다 다만 햅틱반응은 간혹안되는데 좀더 사용해봐야될듯 합니다
정말좋고 같이왔던
백라이트 기능도 있어서 야간에 유용하게 사용합니다
서피스시리즈 처음구매자로서 정말 오래사용할듯합니다 애지중지
화면보호필름과 후면필름 구매해서 부착했네요
정말 활용도면과 편리한 서피스 훗날 더기대가 되는
서피스 시리즈입니다 커피숍 간지탬 서피스프로9 입니다 보면볼수록 간지입니다 현 노트북중에 이보다 이쁜 노트북은 없을거에요
현재 개봉 후 천천히 서피스에 알아가고 있는중 입니다"
평점5,"구매확정까지 시간이 좀 걸렸는데, 일단 이 가격에 제가 구매할수 있었다는 점에 매우 만족합니다. 그래서 오히려 사용간 문제있는점이 없는지 확인하게 되더군요
140만원대가 된셈인데, 중고가로 구매하는 걸 고민하고 있었는데 마침 이벤트에 너무 반가웠습니다. 기획하신부분에 감사드립니다.
마침 오피스도 도착했구요. 제가 휴직중인데 직장에서 사용해보고 싶어서 계속 기다리고 있었고 정작 사용해보니 노트북에 가까운 태블릿이라는 점이었어요. 윈도우를 기반으로 하는 업무가 가장 유리했는데 태블릿으로 효과가 더해지니 제 입장에서는 다방면에 활용도가 높을거 같네요.
몇가지 쓰면서 맘에 걸린점은 터치키보드의 한글 작성가운데서 잠깐 에러가 있었고, 슬림펜 펜촉에 터치가 안됐던 점이 있었는데요.
한글 에러는 업데이트하고 입력기조정 등 하니까 사라졌고, 슬림펜은 충전자리에 놓고 다시쓰니 문제가 없어지긴했습니다.
다만...소소한 부분이 나중에 제품문제로 이어질까걱정되긴했네요.
결론적으로, 상품의 가치 대비 구매에는 제 목적에 맞는 기다리던 상품이 제게 와있어 기쁘네요. 리뷰에 진심을 담습니다."
평점5,"평소에는 가벼운 노트북과 같이 이용하다가 가끔 태블릿처럼 들고 펜으로 노트를 하거나 키보드를 분리하여 영상 감상용으로 세워 두거나 하는 등 편리하고 유용하게 사용하고 있습니다.

윈도우 노트북을 기본으로 하고 가끔 용도에 따라 키보드 없이 태블릿 처럼 사용할 수 있는 점도 좋았습니다. 펜으로 원노트/화이트보드 앱에서 필기할 때 감도가 좋고 영역 선택이나 지우개 등도 펜 버튼과 연동되어 사용성이 좋았습니다.

손을 올렸을 때의 느낌도 부드럽습니다. 키보드 터치감도 준수하여 일정 이상의 만족도를 줍니다. 기계식 키보드와는 다른 탄력있는 타건감입니다.

카페에서 사용할 때도 자신있게 꺼낼 수 있는 디자인으로 가끔 무슨 노트북이냐 질문 받는 것은 덤입니다. 이동용/외부작업/공부용 노트북으로 적절하다 생각됩니다."
평점5,"서피스를 구매할 때는 항상 힘이 좀 드네요..ㅠ
이게 정말 나에게 필요한 제품인가 라는 생각에 구매 목록에 넣어놨다가 다시 삭제했다가 하기를 몇 번을 반복하고 유튜브도 관련 영상을 몇 십개나 찾아보고 무엇보다도 노트북이 직장에 하나 집에 두개나 있어 구매를 꼭 해야하는 건가, 만일 구매를 한다면 어떤 용도로 써야 할까 라는 생각까지... 누가 봐도 구매의 이유가 타당하지 않은 건 사실이지만 이번 제품이 저번 세대에 비해 굉장히 좋게 나왔다는 여러 후기를 보고 생긴 제품에 대한 궁금증과 그래서 누군가는 돈ㅈㄹ한다고 하겠지만 무조건 써보기는 해야겠다 라는 생각으로 구매에 이르게 되었습니다. 사실 무조건 필요한 제품은 아니었기에 가격이 가장 큰 구매의 장벽이었는데 제가 구매한 날은 쿠폰까지 받아서 정말 합리적인 가격으로 구매할 수 있었습니다.
기존에 있는 제품은 삼성 노트북으로 펜 사용이 가능하고 삼백육십 도 회전이 가능한 제품 인데 그 제품들에 비해 작은 몸집 에도 불구하고 . 그리고 가벼운 노트북 중에선 깔끔해서 아마도 서피스를 다시 구매하게 되었나 봅니다. 물론 키보드에 이물질이 묻을까봐 조금 걱정이 되긴 하지만 예전 다른 서피스 제품을 구매했을 때도 큰 오염이 없었으니 잘 간수하면 괜찮을 거라 생각합니다.
서피스 3, 서피스고 1,2를 거쳐서 오래 오래 잘 썼으면 좋겠습니다."
평점5,"약 3개월정도사용하고 후기 남김니다. 가장 마음에 드는 부분은 3대2의 화면 비율입니다. 13인치로 화면이 작을수 있지만 3대2비율로 인터넷, 문서작업시 작다는 느낌이 생각보다 많이 들지 않고 쾌적하다는 느낌을 받았습니다. 모바일 5g 서피스프로9와 많은 고민하다 이제품 선택했는데 무선 연결이 생각보다 빠르고 테더링도 서피스프로에서 설정 후 서피스프로에서 직접 휴대전화로 테더링 연결을 할 수있어서 편리했습니다.

외부에서 간단한 문서작업및 원격데스톱으로 서버/데스크톱 컴퓨터 유지보수용으로 아이패드 나 갤럭시탭 구매를 많이 고민했었는데 결과적으로는 윈도우11 .
무게는 다른 패드류보다 비교하면 무거울순 있지만 실측 1,200g으로 키보드, 펜슬 포함 생각처럼 무겁지 않습니다. 이번에 사무실에서 주업무용으로 서비스랩탑 스튜디오를 추가 구매했는데 1,800g로 체감 무게가 상당했습니다.

그리고 서피스프로9는 키보드가 거의 필수로 여겨지긴 합니다. 어느정도 생산성을 위해서는 키보드는 같이 가지고 다녀야 할것 같고 . 업무특성상 펜슬은 거의 사용하지 않았습니다. 키보드 터치패드로도 충분히 사용이 가능하고 보니 제기준으로는 펜은 거의 사용하지 않았습니다.

있으며, 서피스랩탑스튜디오와 함께 계속해서 사용할 예정입니다."
평점2,"제품박스에 맞지 않는 큰 택배상자에 완충제 하나 없이 포장해서 보낸 것 치곤 상태는 괜찮네요.

근데 상단부분의 액정과 프레임 사이에 약간의 유격이 있고, 키보드는 접히는 부분에서 뽀드득 소리가 납니다.

키입력이나 펜 충전 기능, 기스여부는 없는데, 원래 이런건지 택배를 개떡같이 보내서 고장 난 건지 모르겠네요.

이전 서피스3 프로 이후로 다시 한번 서피스를 사용하게 되었는데 확실히 발전했네요. 배젤도 시원하고 . 3:2 비율은 어디에서도 찾아볼 수 없는 장점입니다. 근데 정가 200만원이 넘는 제품치곤 색재현율이 별로입니다. 물 빠진 것 같아요.

그리고 반사율이 좀 심합니다. 이전에는 별 신경 안 썼는데 맥북보다 이 화면을 보니 .

, 초기설정당시를 제외하곤 . 키감은 개인적으론 맥북보다 더 반발력 있는 게 .

. 이전에 둥글고 투박한 펜으로 오랫동안 사용하면 손가락 마디가 아팠는데, 좀 더 인체공학적으로 바뀌었다고 해야 할까요?

총평하자면, '139만원에 구매한 건 그래도 합리적 수준이다. 그리고 포장 개념 좀 챙기고 보내라'로 정리할 수 있겠습니다."
평점5,"서피스 프로 9
매우 만족합니다.
우선 빠른 배송 서비스에 좋았고,
여러번 문의 드려서 귀찮으실수도 있으셨을텐데
친절함에 감동했습니다 ^^
저는 사실 메인컴이 없습니다.
어찌보면 이제 서피스 프로 9 이 제 메인컴이네요
문서작업은 회사에서 많이 하는 편이고요,
주로 집에서는 간단하게 메일 확인이나
웹서핑 자주 하는 편 입니다
무게가 무거울 줄 알았는데 12.9패드 프로랑 비교했을 때 아주 미세하게 무거운 무게입니다
빠릿빠릿한 처리능력도 한 번 더 마소가 소비자 니즈와 노하우를 잘 접목해서 잘 만든 기기인 게 확실하게 느껴져요! . 아시죠 제스처 기능이 익숙해지면 얼마나 편한지요. ㅎ
이제 요 녀석이 제 메인컴이고
업무 효율도 향상될 거 같은 기분입니다.
!
끝으로 .. 앞으로도 더 많은 시리즈가 출시될 텐데

오늘부터 서피스 충성고객이 될 거 같습니다^^"
평점5,"행사가 크게 하여 마음먹고 주문했습니다.

먼저 이전 시리즈 대비 기능이 크게 향상되여 만족스럽고, 빠른 배송과 뽁뽁이의 안전한 포장도 좋았습니다. 열자마자 보이는 고급진 색상도 마음에 들었습니다.

사은품이 중간에 변경되어 부득이하게 반품하고 재구매를 하였는데요, ㅎㅎ
(트래블허브라면 당연 받아야죠!!)

일단 엄청 빠릿빠릿해져서 좋구요,
다만 발열은 예상대로 좀 있어요!
다기능으로 사용하기 .
출장이 잦은, .
오래오래 쓰길 바래야겠습니다!!"
평점5,"외근이나 출장이 잦아 휴대가 편리한 노트북을 찾다가 구매한게 서피스인데요! 서피스 프로4를 구매해서 약 5년 가까이 정말 잘 사용했습니다. 이번에 행사를 기회로 프로9을 구매하게 되었네요!

외근이나 출장이 잦고 워드나 한글 문서 편집이 많은 직장인이라면 윈도우 기반의 서피스가 최선의 선택인 것 같습니다! :)

회의 때 , 최신 기종은 키보드에 같이 수납이 되니 휴대성도 더 좋아졌네요!

그리고 이번엔 사양도 넉넉하게 CPU i7에 256GB . SSD는 사용하던지 해야겠네요! 그리고 ... 또 하나 깜짝 놀랐습니다!

무게는 노트북에 비하면 너무 가볍지만 ... 지금 보다 조금만 ~

앞으로 고장 없이 잘 사용했으면 좋겠습니다. :)"
평점5,"고민고민 끝에 구매한 '서피스 프로 9'... 매우 만족하며 잘 사용하고 있답니다. '할인할 때 놓치지말고 구매'하는 것으로 '추천'합니다.^^
개인적으로 사용해보면서 느꼈던 점들을 알려드릴께요.

<좋은점>
집과 사무실에서 업무용과 일상생활~그리고 웬만한 게임까지 시원하게 잘 돌아가네요^^
윈도우11이 기본 셋팅되어 있어 OS설치하는 번거로움도 없었습니다. . 이보(evo)인증?까지 받아서 그런지 최적화가 상당히 잘 되어 있다고 느껴지네요. .
거는 아실 것 같고~세련된 디자인은 덤이네요. 가벼워서 매일매일 가방에 넣고 . .
참고로, 저는 MS 아크마우스를 별도로 구매해서 들고 다니는데, 블루투스 바로연결해서 사용하는거라 이쁘고 ~
(다만, 주로 게임용으로 사용하실때는 다른 마우스가 좋으니 참고하세요. 블루투스 직접연결이라 그런지 버튼이 한개라 게임용으로 부적합해요.ㅋ)

<아쉬운 점>
가장 고민되던 부분이 가격이었어요.
제가 고사양은 아니지만 일반적인 게임은 돌아가는 노트북을 찾고 있었기때문에 i7 / 256G 사양을 구매했는데, 정가가 200만원이 훌쩍 넘길래 너무 부담되더라구요. 사실 동일 사양의 노트북은 서피스프로9 보다는 많이 저렴하죠?^^ 열심히 쇼핑몰을 뒤지던 중에 마소전문관에서 할인행사하길래 앞도뒤도 안돌아보고 바로 구매했답니다.
그리고, 제품에 동봉된 기본충전기가 접지가 안된 제품이라 그런지 충전중에 본체에 손갖다대면 전기흐르는 느낌이 나요.ㅠㅠ 그래도 키보드는 금속재질이 아니라 전혀 느껴지지 않는답니다. 민감한 분들은 별도의 PD충전기를 구매하시는게 좋을 것 같아요.

<현재 고민중인 부분은?>
집과 사무실을 오가며 사용하다보니, PD충전되는 보조배터리를 하나 구매해야 겠다는 생각이 드네요. 서피스를 너무 많이 사용하게 된다는 ㅋㅋ

이상 구매해서 3주가량? 사용해본 느낌이었습니다.
고사양의 게임/그래픽작업은 필요없고 웬만한 프로그램은 다 돌릴수 있는 노트북을 찾는 분들께 추천합니다. 단, 할인할때 구매하시는걸로~^^"
평점5,좋은 제품 정말 저렴하게 잘 샀습니다. 2014년에 산 레노보 X240s를 아직까지 사용하다가 더이상은 못 참겠어서 여러가지 대안을 살펴보고있었는데 때마침 가지고 싶었지만 비싸서 항상 아쉬워하던 Surface pro9이 저렴하게 나와 구매하였습니다. 구매히고 보니 역시 하드웨어 명가 마소 답게 아주 만족스러운 퀄리티를 보여주았네요. 앞으로는 악세사리 사는데 돈이 좀 나갈 것 같네요. 윈도우 노트북??(태블릿)으로는 최고인것 같습니다.
평점5,"드디어 한달을 사용하였네요.
서피스프로9 / 10점 만점에 8점을 주고 싶네요.
좋습니다.

기대 -실망-만족!
기대해서 샀지만 아이패드만큼 , 그리고 갤탭이나 .
그러나 지금은 상당히 .

왜냐하면?! . .
1. 저는 패드가 아닌 노트북이 필요했더라고요. 물론 꿩 먹고 알도 먹고자하는 욕심은 있었으나. . . 확실히 노특북이 필요했던 겁니다. 아님 다른걸 샀겠죠.
2. 실제 활용 가능한 앱이 마이크로소프트에서는 없지만, 쓰다보니 나름 대체 가능한 프로그램이 있어서 사용 중 입니다. 특히 마이크로소프트에서 기본적으로 생산하는 소프트웨어가 유용하더군요. 이전에 컴터에서는 잘 쓰지않던 원노트나 원드라이버, 글고 요즘 인터넷 bing이 챗GPT로 유명한데 그뿐 아니라 pdf같은 파일 보거나 수정하는데 유용해요. 글고 무엇보다 특히 윈도우11이 진짜 2n1 제품을 고려한 윈도우체제라는데서 .
3. 세번째는 갤북프로360과 비교될 것인데, 진짜 . 다소
무겁긴 해도 저같이 이동량이 많지 않다면 참 편하고 좋습니다. 물론 가방에 넣어다니면 무거운지도 잘 몰라요. 서피스는 패드처럼 본체만 따로 분리되어 사용하니 터치로 딱 딱 딱 ㅎ ! 글고 납작 펜이 의외로 또 굿입니다. 필기감이 손색없고요. 편의 기능이 삼성펜보다 훨 낫습니다.

예수님의 말씀처럼 제가 욕심을 부리지않았더라면 첨부터 만족했을 제품입니다

구매고려하시는 분들도
과욕하지 않으면 분명 만족할겁니다.

다만 패드처럼 화면 회전이 매끄럽지 못합니다.
프로그램 작동시 회전을 자주하면. . . ㅋ
작업중 끄짐 조심해야합니다.
이는 본사에서 꾸준한 업뎃이 필요한 부분인듯 싶네요 ㅎ"
평점5,"우선 배송이 빨라서 좋았어요.
그라파이트이지만 플래티넘의 잿빛 도시감성 느껴져서 다행이었습니다 감동ㅜ
사진상에는 그라파이트가 단순 검정처럼 보이지만 서피스 특유의 알루미늄 단면의 영롱함이 느껴져요.

디스플레이는 이전 서피스(서피스 고 사용)에서 못느꼈건 쨍함이라 너무 좋네요.

, 밝기에 따라 밝은 회색처럼 보이기도 해요.

한달 사용 후기로 돌아올게요~"
평점5,"이동성이 편하고 필기하기 편하고 다른 기기들과 호환성 좋은 태블릿 찾았어요!다음날 낮에 받는 초고속 배달임. 오래 안기다려서 햅삐

원래 2in1 노트북 썼는데 필기할때 키보드를 뒤집어서 쓰는게 너무 불편하고 신경 쓰였는데
서피스프로는 필기할때 키보드 때고, 작업할때 붙이니 넘 편해요.

아이패.드 운영체제는 애.플아닌 기기와 호환이 불편했는데
서피스는 노트북이라 걱정할 필요도 없고 생산성 굿이요

. 펜 자체를 살짝 마찰있게 만들어서 . 그래서 종이질감 필름 필요 없어요. 붙였다 바로 땠으니 참고하세요 ㅠ(헛돈 소비는 저만 하길)

서피스프로 최고👍"
평점5,"■ 서피스 프로9 구매후기
일단 주식을 하시는 분들에게 꼭 강추드립니다. 저는 기존 데스크탑과 갤북360을 사용하고 있었습니다. 하지만 누어서 탭처럼 쓰고 싶다는 욕구가 무척이나 강했고, 일주일 동안 고민하다가 구매하였습니다.

장점 : 무엇보다 편의성과 활용도 입니다. 무게가 노트북의 2/3으로 눕어서 영상 시청 또는 글을 읽기 좋고 간편하게 직장이나 카페에 들고 다닙니다.
또, 탭과 달리 윈도우 기반으로 HTS를 활용할 수 있다는 점과 필기하는 느낌이 흡사 공책에 직접 적는 느낌입니다.(보호필름 종이재질 부착) 그리고 오피스 툴을 많이 사용하는 저로써 원드라이브 및 노트 등 죄다 . 짱짱!!

한 가지 추천 드리는 사항은 꼭 보호필름 구매해서 붙이세요. 사고 다음날 야외에서 사용 중 한번 떨어트렸는데ㅎㅎ 다행이 외부표면이랑 보호필름에 기스가 나서.. 꼭 사서 붙이세요.

구매를 고민하시는 분들이 있으시면, 확실히 돈값하니까 고민마시고 ."
평점5,"이제 갬성은 MS

S사 노트북을 사용한 지 어느덧 12년째.. 살려달라고 하기에 어떤 걸 살까 고민하던 중 서피스 프로 9이 눈에 들어왔고 직접 두 눈으로 보고 두 손으로 만지고 온 몸으로 느끼고 싶어 MS 오프라인 매장을 찾아가 보니 할인에 상품권 증정까지 하고 있던 찰나, 온라인 공식몰에서 더 엄청난 할인 혜택이 있기에 바로 질러버렸어요 ㅎㅎ

터치 반응도 좋고 아무런 불편함을 못 느끼네요
다들 빨리 구매하세요 고민은 배송만 늦출뿐!!!"
평점5,"한달 사용했는데 만족합니다. 사실 문서작업, 웹서핑, 메신저 사용, 줌 사용 등 사용하는 용도가 단순하고 저는 한정적인 편이라 딱 좋았어요. 노트북 보다는 가벼워서 들고다니기 좋았고 휴대성이 좋은 게 무엇보다 마음에 들었습니다. 카페 갈 때 노트북 들고다니는 건 조금 부담스러웠는데, 서피스프로는 그렇게 가벼운 건 아니지만 그래도 크기나 무게 이런게 파우치나 에코백 같은 곳에 넣고다니며 쓰기엔 노트북보다는 좋았던 것 같아요. 휴대성이 좋은 게 일단 제일 맘에 들었구요. 태블릿처럼 사용할 수 있는 것도 저는 좋았어요. 가끔 영상 보거나, 영상 만들거나 할때도 터치가 되는게 좋더라구요. 터치 되는 건 검색용으로 사용할때도 편리하고 좋았던 것 같아요. 영상 볼때 태블릿보다는 서피스프로 화면이 좀 더 커서 보기 편한 면도 있었던 것 같구요.
게임도 하고, 노트북으로 크게 대단한걸 하지않고 저처럼 평범하게 사용하시는 분들은 잘 맞을 것 같습니다."
평점5,"서피스프로8이 할인을 많이하고 서피스프로9 5g모델하고 고민을 많이 하다가 할인을 많이 하고 있다보니 이모델을 구입했습니다. 업무용으로 구매했고 외부에서 사용하기 편할 것 같아서 구매했는데 너무 마음에 듦니다.
아이패드 프로도 사용하다 팔았는데 윈도우운영체제 위주 사용자라면 괜찮은 선택지라 말씀드릴 수 있을 것 같습니다.
evo인증이 이렇게 편한 줄 써보니 알겠네요."
평점5,"생각하는거보다 성능이 좋아요.
제가 건축쪽 계열에 일을해서 사용하는 프로그램들이 다소 작업하는데 무리가 있을거라 생각했는데 많이 무겁지만 않다면 무리없이 잘 돌아갑니다.

1.스케치업 - 모델링을 하는덴 무리가 있을 수 있지만 작업이 다 된 작업물을 열어보고 확인 가능하며, 수정 할 부분이 있다면 간단하게 수정이 가능할거같습니다.

2.인디자인 및 포토샵 열람 및 간단한 수정가능( 파일이 작업자에 따라 용량이 천차만별이라 저장을 자주하며 램에 무리만안가면 충분합니다.)

3.캐드 캐드는 무리없이 사용가능합니다!

4.다들 필기하는데 좀 불편하다 했지만 어도비 아크로벳에 바로 전 불편한 문제는 없어요 :) 아이패드도 있는데 필기감은 아이패드에도 안꿀리는 필기감입니다.

5.확실히 인텔 CPU라서 베터리 러닝타임이 짧습니다... ㅠㅠ

다른 인터넷이나 블로그, 카페에선 이런 프로그램 관련한 리뷰가 부족해서 사면서 이번에 마이크로소프트에서 60일 프리리턴 이벤트가 있어서 이기회에 미루다 결심했는데 후회없습니다!ㅎㅎ"
평점5,"라이브 사전예약날 주문하고 제품을 받기까지 오래 걸려서 힘들었지만, 제품을 배송 받고 난 후 서피스프로9라는 제품의 황홀함에 신기하게도 너무 좋았습니다.
저는 원래 애플(IOS) 생태계 사용자였지만 갑자기 저도 모르는사이에 서피스병에 걸려서 제품을 구매하게되었습니다. 후회할까 고민도 많이 했지만 그런 고민은 아예 필요없던거라고 자신있게 말할 수 있습니다. 외관은 기본적으로 너무 아름다운 디자인과함께 날렵하지만 매끈한 느낌까지줘서 너무 고급스럽습니다. 또한 때로는 태블릿으로 때로는 노트북으로 사용이 가능하고 대부분 부착식 키보드의 단점인 키보드 아쉬움이 단 1도 느껴지지 않았습니다. 키보드 키캡의 높이도 적당하고 일반 일체형 노트북들보다도 좋은 키보드감을 주었습니다. 서피스펜2도 너무 휼륭했으며 필압의 섬세함까지 어느 한 부분의 아쉬움도 용납하지않는 마소의 완벽주의에 그지없이 감탄만 나올 뿐 입니다. 서피스펜2의 무게도 가볍고 충전기또한 너무 가벼워서 들고 생각이 듭니다. 지금 구매를 망설이는분들께 제가 드리고 싶은 말은 “고민은 배송만 늦출 뿐..”입니다. ^.^ 따봉~!"
평점5,"12세대 인텔 코어 i7 프로세서가 탑재된 마이크로소프트 서피스 프로 9을 살펴봤습니다. 직장인이나 대학생에게 추천할 만한 노트북으로, 작지도 크지도 않은 13인치의 화면에서, 쉽고 간단하게 콘텐츠를 활용할 수 있었는데요. 하이브리드형 P코어와 E코어의 빅-리틀 코어가, 멀티 코어로, 내장 그래픽을 필요로 하는 간단한 편집 작업이나, 재택근무 및 영상 시청 환경 등 다양한 활용성에 초점을 맞춘 모델이었습니다. 가벼운 업무가 주를 이루는 대학생이나 직장인이라면, 사용과 휴대가 편리한 마이크로소프트 노트북을 추천드립니다."
