별점,리뷰내용
평점5,"작년 출시했을때 할인가로 구매 못해서 후회하고 있었는데 이번에 학생할인 받아서 저렴한 가격에 구매했습니다! i5가격으로 i7 제품 살 수 있어서 너무 좋아요!! 아쉬운건 색상 선택이 없는거 뿐이네요 ㅠㅠㅠ 그래도 받자마자 감탄 나오는 자태였습니다..
개봉 후 처음 느낀건 역시 2in1은 서피스를 따라올 사람이 없네요 ㅠㅠ 후기 찾아봤을때 버벅거림이 있다고 해서 걱정했는데 아직까지는 크게 불편사항을 못느낄 정도에요
게임도 돌아갈수 있다고 하는데 하는 게임이 없어서 이건 아직 확인 못해봤습니다..
15인치 lg노트북 사용하다가 너무 크고 무거워서 13인치로 바꾼건데도 화면이 시원시원 하네요!!
무게도 키보드를 포함해도 들고다니기 괜찮을 정도에요!!
타자감도 좋아서
갤탭도 사용하는데 안드로이드가 아닌 윈도우 필요해서 구매한건데 태블릿이랑 차이도 못느낄 정도로 !
ssd도 교체가능하다고 하니까 사용하다가 부족하면 한번 교체도 도전해봐야겠습니다!!!!
컴퓨터 전문가가 아니라서 열심히 후기 찾아보고 고민해서 구매했는데 역시 고민은 배송만 늦어질뿐이였습니다.. 현재 만족도 100%에요!!"
평점5,일단 서피스 프로9 자체가 업무 생산성이 너무 좋네요. 갤탭 울트라 갤북360 다들고 있는데 문서작업이 많고 필기작업이 많은 저에게는 서피스가 많이 유용하네요. 무게도 적절합니다. 무엇보다도 마소 계정으로 연결만 되어 있다면 기존 노트북 설정을 불러들여 자동으로세팅해주던데 이 부분이 정말 크게 마음에 들었습니다. 다만 불만이라면 화면비... 이지만 해상도가 좋은만큼 그걸 커버해줍니다. 외관상 케이스는 필수로 보여 케이스부터 질러야 하네요. 기스나면 눈에 너무 띄일것같아 걱정입니다 ㅎㅎ...
평점5,"저와 누나는 이미 예전에 구매해서 만족하며 쓰고 있고 어버이날을 맞아 어머니께 선물해드리려고 구매했습니다. 어머니께서 쇼핑몰을 운영중이신데, 윈도우즈에서만 돌아가는 특정프로그램을 쓰셔야 되기도 하고 겸사겸사 태블릿으로 활용하시라고 선물을 드렸습니다.
윈도우 운영체제가 구동되는 태블릿 PC중에 최고의 제품입니다. 시그니처 키보드와 슬림펜2에 오피스365 1년치까지 이 가격으로 할인해서 판매하니 구매를 안할 이유가 없네요. 저는 이 모델 사용하다가 다음 최신모델 나오면 바로 또 바꿀겁니다. 윈도우즈 구동되는 태블릿중에 제일 편합니다."
평점5,안녕하세요 빠른 배송 감사합니다. 구매한지 하루만에 배송이 와서 윈도우 업데이트까지 진행하였습니다. 시간을 두고 사용해 봐야 알겠지만 가볍고 디자이도 예뻐서 좋네요 ㅎㅎ 그런데 윈도우 업데이트 중 글자가 깨져 나오는 거는 윈도우 11 문제인거죠....... 눈에 좀 거슬리네요. 좋은 제품 감사합니다. 많이 판매하세뇨.
평점4,"큰 맘먹고 비싼 제품을 오랜만에 구매해 봅니다.
할인을 많이 받아 기분도 좋구요.ㅎㅎ
저는 키보드를 아이스블루를 구매했는데, 색이 정말 맘에 들어요~
다만...
2n1 제품에 대해 기대가 너무 너무 컸나 봅니다 ㅎㅎㅎ
꿩먹고 알먹고는 아니네요ㅠ
'딱 '가 맞는 말입니다.(물론 서피스에서 과대 광고를 한 것은 아닙니다. 제가 오해 한 거죠.)
저는 아이패드도 있고 갤탭도 있는데...
이 둘을 사용했던 것을 기준으로 서피스 구매한다면, 휴대성과 편의성에 있어서 실망을 할 수 있습니다. 무엇보다 마이크로소프트의 '앱'은 절대 앱스토어나 안드로이드를 따라올 수 없습니다. (차후 안드로이드를 쓸 수 있다하던데, 그때가 온다면 ㅎㅎ, 그러나 아직은 아니죠)
그렇기 때문에 윈도우 제품인 서피스를 패드나 갤탭처럼 사용하려 한다면 구매에 대해 매우 고려하여 사여야 할 겁니다.
물론 서피스를 노트북이라 생각하고 구매하시고 쓰신다면, . 왜냐? 노트북이니까요 ㅎㅎㅎ
물론 2n1 중에서 갤럭시 북 프로 360 과 본 제품을 비교하신다면, 단연 서피스가 좋습니다. 구조적으로 갤북 보다는 더욱 2n1에 적합하게 만들어 졌기 때문입니다.
사실 일주일 전에 사무실에서 얼마전 갤북 프로2 360을 구매하여 그걸 써 보고, 아 이건 아니다 싶어 서피스를 구매한 겁니다. 갤북에서 광고하듯 갤북은 그림을 그리는 사람에게만 필요한??? 서피스는 갤북보다 휴대성이 더욱 뛰어 납니다.
그러나 갤북을 고려하시는 분들은 아시겠으나, 사은품을 어마어마하게 주죠.... 그에 비해 서피스는 사은품 가난뱅이 입니다. 그리고 북3 360가격이 서피스보다 비싸지만 사은품을 고려하면 비슷하거나 갤북이 쌉니다. 이 또한 구매에 고려대상이죠.
그러나 2n1을 사는 이유는 휴대성이나 편의성 같은 건데... 갤북은 서피스보다 더더덛 그냥 노트북이라는 사실을 알아야 합니다.
적다보니 서피스를 까는 것 같지만, 기대만큼 실망이 커서입니다 ㅠㅠㅠ
그러나 서피스는 나름의 장점이 있을 겁니다. 아직 사용한지 이틀 정도니... 한달 리뷰가 되면 뭔가 2n1의 장점을 알아보겠지요.
현재는 생김새에 , 노트북이 생겼음에 . 아아~ 갤북에 비해 서피스가 나은 점은 , 또 .
앞으로 서피스 노트북을 잘 사용하려 합니다. 비싼 돈 주고 샀으니까요 ㅎ"
평점5,"출시한지 얼마 안된걸로 알고 있습니다. 마이크로소프트 서피스 프로 라인업에 여러 제품들 말입니다. 그 중 오늘 만나본 제품은 서피스 프로 9 제품으로 2in1 태블릿 노트북 제품입니다. 요즘은 비즈니스 노트북으로도 회사에서 많이들 사용하는걸로 알고 있습니다. 대학생 노트북이라고 하기에는 성능과 가격이 많이 올라간듯한 느낌입니다. 일반 작업용으로도 사용 가능할 정도니까요. 12세대 인텔 코어 i7 탑재에다가 16GB RAM이 들어간 제품을 만나보게 되었습니다. 하지만, 오늘은 개봉만 할 겁니다. 사용기는 충분히 사용해보고 또 올리도록 하겠습니다. 커밍 쑤~~~~~~~ㄴ

일반 개봉기는 아래 링크 참조하세요.
https://blog.naver.com/kyyoung92/222939292234"
평점5,"5주동안 사용하면서 느낀점을 말씀드리겠습니다.

1. 휴대성이 매우 높아서 카페 등 외부에서 사용하기 좋습니다. 특히, 충전된 상태라면 마우스, 충전기 등 전부 다 필요없이 본체+키보드만 들고다니면 됩니다. 그래서 저는 에코백에 넣어서 자주 들고다닙니다.

2. 조용한 공간에서도 사용해봤는데, 게임을 돌리지 않는 , 마우스를 사용하지 않기 때문에 딸각 소리도 나지 않습니다. 저처럼 리프레시가 필요한 곳에서 작업을 해야할 분들이라면, !

3. . 보통 멀티태스킹을 할 때, 마우스로 화면 크기를 조절했었는데, . 아주 편하고 좋습니다.

4. . 설치 가능한 프로그램의 한계가 없기 때문에, PC에서 사용하던 경험을 태블릿의 느낌으로 전부 느낄 수 있어서 좋았습니다.

5. 단점도 있습니다. 지금까지 2번정도 터치펜과 스크린이 충돌하는 현상을 겪었습니다. 이때, 터치펜을 1~. 이것말고는 불편한점을 못느꼈습니다."
평점5,"며칠 사용해보니 '윈도우노트북+태블릿'을 하나의 제품으로 대체할 수 있어서 좋았습니다.
또한 휴대하기 편하고, 성능도 무난해서 만족스럽네요.
참고로 동일 스펙에 i5인 제품도 써보았는데요,
i7 제품이 확실히 쾌적하네요.
(크롬으로 인터넷, 한글 문서작업, drawboard pdf 필기 위주로 사용)
다만, i5 제품때와는 다르게 i7제품은 클린설치를 하였는데요, 이로 인해 더 쾌적한 것인지 모르겠네요.
사실 i5 제품은 작동은 잘 되었으나 뭔가 조금씩 버벅거림이 느껴졌었어요.
발열 관련해서 i7
제가 사용하는 패턴상 i5와 발열적으로 별 차이가 없네요.
앞으로 잔 고장만 없다면 정말 좋은 제품이라고 생각되는데, 혹여나 수리받을 일이 생길 때는 as가 걱정되긴 합니다."
평점5,"좌측은 업무용으로 쓰고 있는 xps 13 plus입니다. 서피스 프로 9 키보드(우측)까지 달면 크기는 비슷합니다.
xps 13 plus의 cpu가 1260p 라 더 좋긴 한데 발열이 심해 손이 잘 안갑니다. 조금만 쓰다보면 불가마처럼 뜨거워지며 미친듯이 팬이 돌아갑니다. 그에 반해 서피스 프로 9는 저전력 cpu라 발열이 적고 훨씬 정숙하며 배터리 성능이 월등합니다. 성능적인 면에선 아주 무거운 작업이 아닌 이상 그다지 차이를 느끼지 못합니다. 그런 무거운 작업은 데스크탑에서 하세요. 뭣하러 노트북으로 그런 작업을 하나요.
xps 13 plus 도 터치가 되는 모델이지만 서피스에 비할 바가 못 됩니다. 펜의 유무는 활용도면에서 엄청난 차이가 납니다. 키보드의 키감도 서피스가 훨씬 낫습니다. 특히 xps 의 망할 놈의 터치 키들은 쓸데마다 부아가 치밉니다.
xps는 usb-c가 단 2개밖인데, 하나는 필시 전원 꽂아야 합니다. 서피스는 usb-c와 별도로 전원포트가 준비되어 있어 훨씬 여유가 있습니다. 물론 usb 허브를 쓰면 되지만 그만큼 들고 다니는 짐이 무거워집니다. 서피스의 usb-c포트도 전원 공급이 가능하니 pd . 기본 충전기는 집에 두고 바깥에선 65w pd 충전기를 사용하고 있습니다.

구매 전, 회사에서 사 준 xps 13 이 있는데 내 돈 주고 또 서피스 프로 9를 사야하나 고민도 많았습니다. 하지만 있습니다."
평점5,"퀵배송도 아니고, 주문한지 12시간만에 배송오는 빠른 배송 아주 칭찬합니다.
타사의 안드로이드 기반의 태블릿등도 분명 장점이 있지만, 서피스는 윈도우 기반의 프로그램을 프로그램을 돌릴 수 있는 것이 매우 큰 장점이라 생각합니다.
특히 회사의 업무용 프로그램의 경우 윈도우에서만 작동하는 프로그램들이 많아서 태블릿이 있어도 노트북만 쓰게되었었는데 이제 서피스를 쓰니 쉽게 해결이 되네요.
성능도 만족스럽습니다.
개인적으로는 ."
평점5,"Excel, PowerPoint, Word 등 사용해야하는 비즈니스 툴은 다 윈도우에 최적화 되어있어서 이 제품을 구매하게 되었습니다.
업무상 쓰는 프로그램이 윈도우에서만 돌아가서, 태블릿 겸용으로는 이제품 말고 대안이 없습니다. 물론 최신형 안드로이드 태블릿도 가지고 있습니다. 하지만 노트북도 함께 들고 다녀야 해서 무겁고 번거로웠는데
이 제품 하나만 들고 다니니 모든 번뇌와 괴로움이 사라진것처럼 간편해졌네요.
노트북이나 태블릿에 최적화된 개별 제품들 보다는 각각의 성능이 밀릴수도 있으나, 두루두루 사용되는 멀티플레이어로는 더욱 뛰어나다고 생각됩니다."
평점5,"디스플레이는 상당히 밝고 색정확도도 높아서 좋습니다. DCI-P3색역은 지원하지 않는 점은 아쉽고, 반사방지코팅은 없네요. 밝은빛이 비칠때 화면을 가까이서 자세히보면 펜슬인식용 배선인지 다이아몬드패턴이 눈에띄고, 흰색화면에서는 지문방지필름마냥 자글거림이 보이긴 해요. 적당한 거리에선 보이지 않습니다. 조금 서피스 섀시는 상당히 단단한감이 느껴져서 좋습니다.
펜의 반응속도는 빠르지만 윈도우 특유의 잔렉이 느껴져서 아이패드의 필기감보다는 떨어지는거 같아요. 그리고 원노트에 단순 필기만 해도 기기전체가 뜨끈뜨끈하고 팬소음이 장난아닌게 조용한 환경에서는 쓰기 민망해질정도네요.
안좋은말만 써놓은거 같지만 써보면 잘만든 기기라는점은 확실히 느껴집니다.
. 무겁기도하고 얇은 판을 공중에 띄워놓은지라 낭창거리는 느낌이 들어요."
평점5,"삼성 700T를 오래 쓰다가 이제 더는 버틸 수 없는 성능 때문에 가장 비슷한 유형인 서피스9로 왔다.
최신작이니 기대를 많이 했는데 성능적인 면에서는 만족스럽지만 무게는 많이 무겁게 느껴진다.
2인치나 큰 액정을 달고 있으니 당연하겠지만 700T가 나온 연도를 생각하면 좀 아쉬운 생각이 든다.
최근까지 700T를 쓰다 보니 아무래도 비교할 수 밖에 없는데 700T를 쓰는 가장 큰 이유는 세로 모드로 쓰는 편의성 때문이다. 워드 작업할 때는 모니터가 세로인 것이 가장 편한데 이렇게 쓸 노트북이 이제는 거의 존재하지 않다. 서피스9를 산 것도 사실 이런 편의성을 원해서였다. 그런데 키보드와 펜 번들 버전을 싸게 산 덕에 고민이 더해졌다. 700T 역시 펜 가능 모델이었으나 당시 편의성이 태블릿만 하지 못했으니 좀 더 좋은 느낌이 들었으나 충전을 해야 한다는 단점이 크게 느껴졌고, 키보드는 원래 블루투스 키보드를 따로 썼지만 번들로 온 키보드도 있으니 나름 만족했으나 세로 모드일 때는 번들 키보드를 쓸 쓸 수 없다. 번들 키보드가 액정 보호 역할을 하다보니 잘못하면 키보드를 두 개 가지고 다닐 판이다. 또 세우는 것 역시 세로모드일 때는 각도가 딱 하나 뿐이고...
세로 모드는 전혀 염두에 두지 않은 제품이라고 할 수있다.
또 하나 눈에 뛰는 단점은 화면 회전이다. 영상보다는 컴으로 책을 읽는 것을 즐겨 하는데 가로 모드일 때는 문제가 없으나 세로로 전환했을 때는 설정에서 회전 금지를 설정하지 않는 한 조그만 각도가 움직여도 가로 세로로 자동 회전이 된다. 침대에 누워 뒤척거리며 책을 읽을 때는 아주 쥐약이다. 700T의 경우에는 회전 잠금 버튼이 외부에 나와 있어서 이 점은 아주 편리했다. 하지만 지금은 책을 읽을 때는 구태여 설정에 들어가 잠금을 하고 다른 가로 작업을 할 때는 또 설정에 들어가 잠금 해제를 해야 한다. 이건 좀 짜증 나는 일이다.
일단 이것을 제외하고는 모든 것이 .
때문이다. 워드는 그렇다 해도 그래픽 작업에서의 성능 차이는 정말 크다. 700T에서 진작에 다른 컴으로 넘어왔을 텐데... 그렇다하더라도 느껴지는 차이는 상당하다.
그러고 보면 참 오랜 시간 나와 함께 버텨온 700T는 참 명기였구나 생각이 든다. 물론 삼성의 최대 장점인 AS도 한 몫 했고(이제는 부품이 없어 더는 AS가 안 된다.).
이번에 구매한 서피스9 역시 나와 오랜 시간을 보낼 예정이다. 더 이상 버티지 못하고 다른 녀석을 들여올 때 그때 역시 서피스9와 비교하며 하 이 녀셕 정말 명기였구나 그런 생각이 드는 제품이었으면 한다."
평점5,"한달간 매일매일 들고다니면서 사용한 후기입니다!!!
갤럭시 탭을 들고다니면서 사용했었는데 서비스프로 사면서 탭 처분후 서피스북을 들고 다녔습니다! 인치는 탭보다 커졌는데 가벼워서 탭을 들고다니나 서피스북을 들고다니나 별로 차이 없었습니다~
사용할때 제일 걱정했던 부분은 배터리였는데 게임은 안해봐서 모르겠는데 사용전에 충전해 두고 카페가서 문서 작업하고 동영상 재생했을때 충전없이 5시간까지는 계속 사용 가능했습니다~ 그리고 충전기도 작아서 들고다닐때 큰 부피를 차지하지 않아서 좋았어요!
.. 원래 키보드를 따로 가지고 다닐정도였는데 서피스는 의외로 불편하지 않아서 잘 사용하고있습니다! 근데 커버가 부직포?재질이라고 할까요? 먼지가 잘 붙는게 단점이라 이것만 바뀌면 ㅠ
아 한가지 아쉬운점은 학교에서도 쓰는데 아직 윈도우에 pdf에 글을 쓸 수 있는 프로그램이 쓸만한게 없어서.. 제가 그림을 그리는건 아니라.. 봤습니다.. 이건 서피스에 문제는 아니지만요..
그리고 한가지 팁을 드리자면 저는 서피스공식 일반 보호필름을 샀는데 펜으로 쓰거나 터치할때 손자국이.... .."
평점5,"서피스 프로9...

너무나도 세련된 디자인과 실용성으로 가득찬 훌륭한 13인치 태블릿PC 라고 할 수 있을 것 같아요..

탈착이 가능한 알칸타라 소재의 케이스형 키보드와 슬림펜까지 쏙 보관할 수 있는 공간까지...

심지어 알록달록 커스텀 가능하게 색깔도 예쁘게 나와서 그 중에 포레스트로 골랐지만

저의 생산성을 듬뿍 올려줄 서피스 놓치지 않얼게요"
평점5,"사용 기반이 윈도우다보니 별다른 어려움없이 모든 파일에 접근이 용이하고, 다른 장비들과 연결도 잘 됩니다. 생각보다 필기하는 용도로 많이 쓰고 있는데 같이 사용하는 펜 인식률, 필기감도 상당히 좋습니다.
태블릿과 노트북의 기능을 모두 사용할 수 있는 점이 가장 유용합니다. 태블릿, 노트북 둘 다 가지고 다니는 걸 생각하면 무게적으로도 상당히 이득이구요. 사용하고 있으면 주변 사람들이 정말 신기하게 보고, 더 좋다고 말하는 제품입니다ㅎㅎ
앞으로도 잘 사용하겠습니다. 좋은 가격에 좋은 제품 구매할 수 있어서 너무 감사합니다."
평점5,"윈도우에 사이즈도 딱이라 만족하며 사용하고있습니다. 사람들이 예쁘다고 하더라고요. 원래 보조용으로 구매한건데, 자꾸 서피스를 찾게되네요. 다른 후기처럼 발열이 좀 있고 배터리 지속시간이 생각보다 짧긴한데 장점이 많아서 만족합니다. 보호필름도 구매해서 부착해놨는데 밀착력이 좋아서인지 부착한지 잘 모르더라구요. 펜이용도 자주해서 보호필름 부착 필수입니다~"
평점5,"어제 일요일인데도 갑자기 발송 시작 안내되었기에 설마했는데 오늘 오전에 도착했네요. 우선 살짝 언박싱하고 제품외관 검수해서 마소 전용래더파우치에 넣어뒀습니다.
퇴근해서 윈도상 하드웨어 검토하고 이상없으면 보호필름 전후면 부착하면 되겠네요."
평점5,"서피스 프로9 구매한지 벌써 한 달이 지났네요 :)

서피스 프로4로 서피스를 처음 접하고 일상 용도 외에도 지방, 해외 출장 때의 높은 편의성 때문에 이번에 서피스 9을 재구매하게 되었는데요!

제가 일하는 직종이 문서 작업이 많은 직종이라 HWP 파일 DOC, PPT 등 MS 기반의 문서작업 프로그램을 많이 사용해야 하는데요 .. 윈도우 기반의 2in1 PC는 단연 .

그리고 회의 때 서피스 펜으로 간단한 메모 ! 특히, 예전에 펜을 별도로 들고 다녀야 해서 불편했는데 슬림팬 덕분에 보기에도 깔끔하고 편하게 .

이제까진 장점만 적었는데요 .. 약간 아쉬운 점은
발열은 제법 있는 편이고 배터리 시간은 아이패드와 같은 테블릿에 비하면 아쉽습니다. 영상 또는 문서를 읽는 용도라면 패드류가 더 적당할지도 모르겠습니다.

저는 노트북을 대신하면서 태블릿 기능이 있는 제품이 필요한 상황이라 서피스가 제일 :)

확장성은 사진에 보이는 멀티 허브 하나 챙겨 다니면 든든합니다! ㅋㅋ"
평점5,"좋네요. 특가로 잘 샀어요!^^
왜 서피스, 서피스 하는지 알겠네요. 군말 필요 없이 윈도우 PC구매를 원하시는 분 중에 빠릿빠릿 잘 돌아가고, 휴대성 좋고, 베터리 오래가고, 터치되고, 무엇보다 간지나는 노트북 원하시면 이겁니다!

믿고 지르세요~!!^^"
평점5,"전반적으로 보았을 때, 나름 가볍고 깔끔해보여 괜찮은 것 같아요. 발열도 적은 편인 것 같고요.
사용하는데 적응 기간이 조금 필요할 것 같아요.
몸체가 알루미늄이다 보니 충전할 때 만지면 전류 흐르는 느낌이 있어서 조금 아쉬워요.
나머지는 좀 더 사용해봐야지 알 것 같아요. :)

제품이 뽁뽁이에 3-4번 정도 둘러져있긴 하지만, 워낙 큰 박스에 담겨서 오다보니 전달 과정에서 파손이 발생할수도 있을 것 같아요."
평점5,"현재 일주일내낸 사용하고 있는 유저입니다.
배송은 주문후 담날로 바로 배송되었는데 포장을 어찌나 신경쓰셔서 보내주셨는지~~안전하게 잘 받았습니다. 역시 아무리 가격이 부담되긴하더라도 믿고 구매한 저 자신이 키특하기만 합니다^^ㅎㅎ
필름은 앞면은 쉬운편인데 뒷면은 로고에 음각이 되어 있어서 헤어드라이기를 사용해서 부착하면 쉽고 깔끔하게 부착할 수 있습니다.
아주 생산성 높은 서피스프로~~강추 합니다."
평점5,"적당히 휴대하기 좋은 크기랑 무게를 가지고 화면 사이즈도 태블릿치곤 큰 13인치라 신형 서피스중 이걸로 결제했습니다.

실제로 써보니 디자인이 사진에서 나온 것처럼 때깔 좋고 특히 서피스펜이 조작감이 좋아 만족스럽습니다."
평점5,"사전예약으로 빠르게 받아볼 수 있었습니다. 서피스 프로 4를 쓰다가 이번에 9를 구입했는데, 정말 많은 부분에서 개선이 되었네요. 업무에 유용하게 사용할 수 있을 것 같습니다. 다만, 오른쪽 스피커 부분에 미세한 스크래치가 있었는데, 도색이 벗겨진 부분이었습니다. 들고다니면서 사용하다보면 결국은 스크래치가 날 것 같고, 다른 부분은 양품인 것 같아 교환 신청을 하지는 않았습니다. 그래파이트 색상은 플래티넘 색상보다는 도색이 상대적으로 쉽게 벗겨질 수 있는 것 같아 다소 아쉬운 부분이네요. 그렇지만 그래파이트 색상은 디스플레이의 검은색 베젤과 일체감이 느껴지는 미감을 주기에, 디자인적으로는 매우 깔끔합니다.

서피스 프로 9의 전체적인 . 윈도우 기반이 필요하신 분들에게는 올인원 기기로 추천합니다."
평점5,"태블릿 PC를 원해서 찾고 찾다가 서피스 프로 9를 선택했습니다. 같은 플래그십 제품인 갤럭시 북2 프로 360과 그램 360 제품도 고민했었는데요, 결정적으로 키보드가 분리된다는 점, 그리고 120Hz 주사율과 압도적인 해상도(QHD와 UHD 사이)가 서피스 프로9에는 지원이 되어서 구매했습니다! 그리고 부팅시간도 매우 빨라서 태블릿 켜는 것처럼 느껴졌습니다. 보통은 부팅시간이 길어져서 다들 귀찮아서 노트북 대신 PC를 사용하는 게 보통인데, 이러한 점을 잘 알고 있어서 진짜 태블릿의 느낌을 줄 수 있게 많이 신경 쓴 부분이 느껴집니다. 저처럼 윈도우가 들어가 있지만, 태블릿처럼 사용하고 싶은 분들이라면 강추입니다!"
평점5,"사무용으로 사용하기 위해 갤탭과 아이패드 모두 사용해보았지만 항상 무언가 부족함을 느꼈습니다

덕분에 데탑은 반드시 필요했습니다 그렇다고 노트북은 아무래도 휴대성에서 좀 아쉬었습니다

태블릿보다는 노트북을 원하시면서 노트북보다 휴대성을 원하시면 이 제품이 딱! 이다 라고 자신있게 권해드리고 싶습니다

잘 이동 안한다면 그냥 노트북 사세요

다만 태블릿보다 노트북에 가까운 환경 무엇보다 윈도우 그 자체. 뛰어난 완성도와 안드로이드까지 같이 사용하시려면 서피스 프로가 그 정답입니다"
평점5,"한달사용리뷰!

주사율 기본세팅이 60hz로 되어있어서 120hz 고정도 해보고 동적으로도 해보고 비교를 해보면서 사용해봤는데 120hz로 계속 사용해보니 배터리 소모가 빠른 편이더라고요 발열도 조금 있긴해요 이 부분이 조금 아쉽긴하지만 멀리서봐도 가까이서 봐도 디자인이 너무 이쁜지라 아쉬움이 싹 사라지네요 ㅋㅋㅋ아니 진짜 너무 이뻐요 빨리사세요"
평점5,"서피스프로9을 갖기까지 엄청 많은 고민을 거듭했습했습니다. 2017년부터 고민을 했죠..이게 정말 나에게 필요할까? 가격은 비싸지 않은지.. 돈을 벌고 이렇게 살 수 있어서 기분이 좋아요! 더일찍 사서 경험해보지 못한게 후회만 될뿐ㅋㅋㅋ
태블릿 사용 빈도가 높지만, 노트북처럼 간혈적으로 필요한 사람들에게 그냥 결제하라고 추천해주고 싶어요."
평점5,"많은고민끝에 고민했지만 최선의 선택인것 같습니다.
가격이 비싸다 생각했는데 갤럭시360 처럼 비슷한 경쟁제품을 비교해보니 2in1으로는 되려 나름 가성비인거 같다는 생각도 드네요ㅋㅋ
기본 인터넷 서핑,자격증공부,문서작업,필기에
딸아이 유투브, 그림그리기 등등
서피스 하나로 정말 다양하게 활용하고 있어요.
배터리 사용시간이 가장 아쉬운 단점이긴 하지만

어느정도 감당가능합니다.
하루빨리 구글스토어가 정식적으로 출시되어 다양한 안드로이드 앱을 활용할수 있으면 좋겠네요."
평점5,"서비스프로9을 올해 초 구매하였습니다.

그동안 갤럭시울트라8과 노트북을 병행하여 사용했는데 출장다닐때마다 가방이 무거워서 혼났습니다.

마침 서피스프로9 신제품 출시 소식을 듣고 구매하였습니다. 기존에 사용하던 노트북과 성능은 비슷하고 빠릿함이 좋아서 만족하고 있습니다.

무엇보다 출장다니면서 이용하던 노트북과 테블릿을 한가지로 통합이 되니 .

그동안 말로만 듣던 있습니다."
평점5,"노트북과 태블릿의 조합으로 생산성 좋고 사용하기 편리합니다.
컨텐츠 소모가 주목적인 여느 태블릿과 다르게 너무나 익숙한 윈도우 기반으로 사용에 불편함이 없습니다.
휴대성과 생산성 모두를 생각하면 좋은 선택지라 생갇합니다."
평점5,"갤럭시북과 서피스사이를 한달여 가량 갈팡질팡 고민 끝에 네이버 맴버쉽 쿠폰 기회까지 있어 너무 좋은가격에 구매했네요. 최초 서피스 모델은 써봤는데 그때보다 굉장히 업그레이드되었네요. 특히 안드로이드 기기 내 데이터들을 손쉽게 가져올 수 있는점은 상당히 맘에듭니다. 전원장치는 많은 사용자들이 집어주신대로 어울리지
않게 크고 묵직하고 본체에 전원 연결부분이 자석으로 되어있어
좋긴하지만 왠지 약해보입니다. 뭔가에 눌려 쉽게 꺾이거나 부러질 수 있겠네요.
어쨌거나, 외관부터 성능. 터치감. 사이즈. ."
평점4,"신제품이라 좋아요. 윈도우11 처음써보는데 적응기간이 좀 필요하겠네요. 문의에 답변도 빨라 좋습니다.
다만 상품소개에 키보드가 서프스프로9 전용이라는 문구는 빼셔야합니다. 서피슾포 8, 9, x 호환제품인줄 알았으면 좀더 고민하고 구매했을 겁니다.
환율이 올라 좀 비싼감은 있지만, 앞으로 4ㅡ5년 잘 쓸생각으로 구매했습니다."
평점5,"거의 10년전 서피스 초기모델을 사서 너무 만족스럽게 쓰고있었습니다. 초기모델이라 뭐였는진 기억안나는데 크기도 작고 가지고 다니기에도 편하고 거의 문서작업만 주로 하는 저에게는 딱이었어요. 근데 너무 오래되어서 그런지 이제 더이상은 못 쓸거 같더라구요ㅎㅎ 렉도 자주 걸리고 그래서 새로 사야지 마음을 먹었습니다. 처음엔 그램이나 삼성쪽 노트북을 사야지 마음 먹고 이리저리 알아보는데 가격이 너무 비싸 선뜻 결정을 못 내리고 있었습니다. 그러던 찰나에 우연히 네이버에서 서피스프로를 할인해서 판매하고 있다는걸 보게 되었고, 그 전에 서피스를 너무 만족스럽게 썼던 저로서는 고민할 이유가 전혀 없었습니다.^^ㅎㅎ
서피스 프로모델은 처음이어서 약간 긴장?되긴하지만 잘 써보아야겠어요. 일단 , 뜯자마자 영롱한 디자인과 쨍한 화면에 감동받았습니다.ㅎㅎㅎ 한달사용후기로 돌아올게요^^"
평점5,"서피스 프로9… 처음 서피스 시리즈를 본 것은 16년도 쯤 친구가 들고 온 것이 처음이었습니다. 그당시에 보고 킥스탠드가 넘모 좋아보였지요. 그러고 잊고 살다가 갑자기 올해 지름신의 인도하심을 따라 서피스를 제 손에 넣게 되었습니다.

기본모델을 살까 하다 그럴바엔? 좀더 보태면 i7인데? 하면서 오 좀더 보태면 펜이랑 키보드도 주네? 하면서 강렬한 지름신의 의지에 따라 이 제품을 구매하게 되었습니다.

업무용으로도 좋고 게임을 할수도 있고 포터블 x86 pc를 갖고 있는것이 매우 기분이가 좋습니다."
